Wall time,Step,Value
1769003628.2297213,1870,10814.478515625
1769003642.7397609,1878,11958.291015625
1769003732.1536872,1918,11408.3125
1769003762.1531498,1935,12483.2724609375
1769003784.9389908,1948,12634.1533203125
1769003901.635876,2002,12519.103515625
1769003965.2659721,2037,11787.373046875
1769004039.4098668,2078,12807.6904296875
1769004073.144313,2097,12805.234375
1769004259.3898342,2188,10285.7373046875
1769004299.1135898,2200,12089.3251953125
1769004320.9211981,2212,12848.2705078125
1769004356.489496,2232,11404.080078125
1769004365.687356,2237,13645.8349609375
1769004367.4440577,2238,11598.2734375
1769004402.694048,2258,13446.7119140625
1769004410.575011,2263,11897.0908203125
1769004505.0479138,2308,12534.4638671875
1769004526.4283926,2320,12720.1640625
1769004590.7804878,2355,11539.970703125
1769004654.0818326,2390,12821.5625
1769004655.7985964,2391,14033.9130859375
1769004659.2763793,2393,13313.1328125
1769004759.5879092,2437,11220.2841796875
1769004792.0339622,2454,11389.71875
1769004795.5359244,2456,11179.662109375
1769004804.389922,2461,13414.4189453125
1769004849.9355743,2486,12872.69140625
1769004851.7463415,2487,12750.6826171875
1769004869.6938748,2497,14396.9462890625
1769004873.1363626,2499,12936.3662109375
1769004902.2328246,2504,11778.603515625
1769004955.3010707,2533,13226.8037109375
1769004983.1495736,2548,11973.68359375
1769004994.3021488,2554,13240.9375
1769005257.2148783,2686,14083.0322265625
1769005377.0063398,2741,13527.5966796875
1769005401.5053873,2755,13522.392578125
1769005461.9209802,2790,12300.365234375
1769005665.50527,2897,11697.388671875
1769005808.8018699,2968,13336.6767578125
1769005899.1465118,3012,11929.0537109375
1769005946.8247504,3039,12968.3623046875
1769005952.1882398,3042,13244.9384765625
1769006073.7581377,3100,9290.0556640625
1769006183.2447982,3162,13980.5419921875
1769006247.2166336,3197,11248.216796875
1769006325.6894464,3231,12615.0625
1769006349.9804084,3245,12841.421875
1769006353.2901852,3247,9502.98046875
1769006354.9462996,3248,12880.8359375
1769006475.8284104,3306,12374.70703125
1769006600.1681354,3377,13255.7041015625
1769006674.8029764,3409,13484.478515625
1769006744.6310897,3450,12969.693359375
1769006802.5579796,3481,12807.7607421875
1769007054.8726745,3601,13010.123046875
1769007087.0167236,3619,12403.00390625
1769007090.768819,3621,13152.6923828125
1769007174.3661766,3671,12796.615234375
1769007286.7151146,3727,12479.1240234375
1769007313.1254258,3742,13242.92578125
1769007403.201001,3794,13074.9609375
1769007459.7667263,3815,12039.7412109375
1769007468.5438948,3820,14113.853515625
1769007472.0916965,3822,12730.4130859375
1769007546.3892908,3865,12354.10546875
1769007674.8866315,3929,13003.8056640625
1769007723.0791717,3957,12198.853515625
1769007772.3777463,3985,14418.9580078125
1769007882.232394,4037,13439.322265625
1769007991.8532894,4099,12237.1943359375
1769008030.4486375,4110,11969.3154296875
1769008156.138384,4183,12210.2431640625
1769008180.733337,4197,13617.515625
1769008210.90174,4203,13067.5693359375
1769008254.862259,4228,13367.185546875
1769008263.3083718,4233,14039.4013671875
1769008315.417875,4264,14008.7119140625
1769008407.161479,4305,11805.9248046875
1769008428.7269876,4318,14059.388671875
1769008431.3804739,4320,14021.9462890625
1769008587.8316386,4401,13569.9873046875
1769008747.431767,4493,14120.02734375
1769008795.5060115,4510,11420.9287109375
1769008831.3665066,4531,13736.0234375
1769009021.6043534,4629,13190.298828125
1769009084.8374891,4665,12733.1328125
1769009091.6762075,4669,12514.3857421875
1769009105.6317816,4677,12806.6201171875
1769009256.7221124,4751,12625.087890625
1769009321.8617146,4789,12463.732421875
1769009360.6946383,4801,11023.05078125
1769009363.898001,4803,13806.7646484375
1769009429.1924791,4841,13234.419921875
1769009451.5791378,4853,10288.275390625
1769009525.1356199,4895,12594.3857421875
