Wall time,Step,Value
1769011984.9943871,6318,4815915520.0
1769012013.8084853,6342,4516744704.0
1769012041.3754504,6364,4531076608.0
1769012057.778613,6377,4902535168.0
1769012106.1105216,6401,4633136640.0
1769012226.9448855,6497,4569603584.0
1769012272.746708,6521,4781809664.0
1769012339.0390189,6575,4801201152.0
1769012351.4956474,6585,4755762176.0
1769012392.615363,6604,4074520832.0
1769012460.1811578,6658,4645752832.0
1769012507.5466287,6697,4713777664.0
1769012527.6482677,6700,4422753280.0
1769012542.2324874,6712,4905079808.0
1769012576.1110075,6739,4837758976.0
1769012581.169251,6743,4532703232.0
1769012726.965291,6847,4674691584.0
1769012736.9401262,6855,4377325056.0
1769012755.4587746,6870,4472793088.0
1769012896.5645924,6967,4317961728.0
1769012929.4968765,6993,4614247424.0
1769012975.9921126,7015,4231390208.0
1769013109.832167,7107,4446285312.0
1769013119.8530037,7115,5262842368.0
1769013172.204604,7156,4832409088.0
1769013268.8225682,7217,4257818112.0
1769013307.3746488,7248,4664620544.0
1769013405.7297246,7312,4724338688.0
1769013427.8624356,7330,4836319744.0
1769013440.5157242,7340,4816431616.0
1769013441.9422884,7341,4207919360.0
1769013465.5092695,7360,4854098432.0
1769013493.9978101,7383,4908898304.0
1769013535.3876414,7402,4524866048.0
1769013595.7230647,7451,4899674112.0
1769013607.1775815,7461,4322027520.0
1769013610.463228,7464,4816723968.0
1769013628.7822063,7479,4691612672.0
1769013688.5945485,7512,4491653632.0
1769013830.2008245,7610,4386772480.0
1769013873.761379,7645,4977255936.0
1769013927.7934017,7688,4547289088.0
1769013934.9251597,7694,4637116416.0
1769014034.6953084,7761,4949711360.0
1769014059.4218743,7781,4770120704.0
1769014069.3157425,7789,4738702848.0
1769014081.6722982,7799,4628567552.0
1769014141.849931,7834,5098924544.0
1769014241.7882838,7901,4980829184.0
1769014280.490815,7933,5038788608.0
1769014349.5543158,7992,5310219264.0
1769014409.5681665,8027,4668250112.0
1769014422.6628764,8038,4444902912.0
1769014436.5404794,8050,5315825664.0
1769014456.5302308,8067,5147567616.0
1769014613.8184037,8181,4849810944.0
1769014675.3488276,8216,5255276032.0
1769014682.494198,8222,5024633344.0
1769014766.1986501,8291,4843405312.0
1769014837.1720955,8335,4764008448.0
1769014844.3960416,8341,5186269696.0
1769014871.9809299,8364,4999344128.0
1769014878.2265313,8369,4605383680.0
1769014889.2416525,8378,4922921984.0
1769015016.6896164,8468,4928784896.0
1769015020.4449816,8471,4856502784.0
1769015054.309941,8499,5087945728.0
1769015085.004592,8509,4987350528.0
1769015155.0204983,8567,5014168064.0
1769015217.7183597,8602,4852911616.0
1769015256.9831138,8635,5062753280.0
1769015258.2303054,8636,4562799616.0
1769015324.8230734,8691,4952728064.0
1769015330.931178,8696,4611512832.0
1769015517.8060918,8820,4802908160.0
1769015521.533814,8823,4793309696.0
1769015589.9235954,8879,4713223168.0
1769015598.05157,8886,4895843328.0
1769015636.3667433,8905,5173410816.0
1769015639.7987978,8908,4729988096.0
1769015664.3395748,8929,4848786432.0
1769015672.994165,8936,4741901312.0
1769015700.6706803,8959,4774215680.0
1769015721.2511785,8976,4733527552.0
1769015743.4908817,8994,4477032960.0
1769015768.92687,9000,5043239424.0
1769015780.540111,9010,4835568128.0
1769015837.709904,9056,4452988416.0
1769015847.548971,9064,5036459520.0
1769016081.8357642,9227,4678140928.0
1769016090.2915604,9234,4589123072.0
1769016123.1080437,9261,5065448960.0
1769016197.206416,9308,4856028672.0
1769016208.4779637,9317,4669957632.0
1769016248.39575,9349,4923018240.0
1769016274.607469,9370,4769401344.0
1769016345.6447344,9413,4727476224.0
1769016349.4408562,9416,4735904768.0
1769016374.4059875,9436,4777487872.0
1769016383.069116,9443,4865516544.0
1769016414.6902807,9469,4485637120.0
1769016517.0743093,9539,4490622464.0
1769016527.7303646,9548,5252594688.0
1769016536.5372837,9555,4601143296.0
1769016552.8129194,9568,4666937856.0
1769016579.8204143,9590,4505305088.0
1769016644.0954294,9628,4414072320.0
1769016681.2491782,9658,5056283648.0
1769016708.9729855,9681,5114508800.0
1769016730.2598262,9699,4827130880.0
1769016834.1292303,9769,4550449152.0
1769016940.8278959,9841,4920608256.0
1769016944.600534,9844,4678488576.0
1769016994.3453841,9884,4921834496.0
1769017041.505759,9908,4227065600.0
1769017122.3052247,9973,4715807232.0
1769017237.9444818,10051,4926054912.0
1769017244.3668802,10056,5192958976.0
1769017248.2651227,10059,4505790976.0
1769017279.4050446,10085,5123746816.0
1769017349.3776894,10129,4766845440.0
1769017368.7556322,10145,4393077760.0
1769017397.437335,10169,4504309760.0
1769017417.357468,10186,4459374080.0
1769017522.2832544,10257,4915941888.0
1769017545.7799344,10277,4923421696.0
1769017553.7267609,10284,5088854528.0
1769017707.999903,10397,4837150208.0
1769017729.7791886,10400,5032096768.0
1769017755.8650377,10421,4747657728.0
1769017826.0832539,10480,5064000000.0
1769017838.0959952,10490,4866630144.0
1769017843.1329665,10494,4770095616.0
1769017896.5700173,10523,5244359680.0
1769017935.474251,10555,5069259776.0
1769017936.5798879,10556,5212759552.0
1769018017.677128,10608,4524258304.0
1769018038.295587,10625,4572943872.0
1769018055.5663898,10639,4825222144.0
1769018074.5517688,10655,4974845952.0
1769018094.9185672,10672,4928715776.0
1769018162.2587671,10712,4719931904.0
1769018218.1761053,10758,4638557696.0
1769018219.2438798,10759,5363833344.0
1769018245.820377,10781,4639622656.0
1769018254.4415438,10788,4617954816.0
1769018307.9743383,10816,4284405504.0
1769018320.357117,10826,4974610944.0
1769018326.4739194,10831,4839531520.0
1769018339.740206,10842,4883069952.0
1769018350.514731,10851,4825321472.0
1769018367.2818074,10865,5095322112.0
1769018432.871555,10903,4796457984.0
1769018436.5317137,10906,4812355072.0
1769018477.894803,10940,4604093952.0
1769018482.9914057,10944,4492319232.0
1769018510.2234643,10967,4607973376.0
1769018517.3798773,10973,4766055424.0
1769018519.8282294,10975,4867315200.0
1769018587.0439174,11015,5134443008.0
1769018594.4252052,11021,4856726016.0
1769018610.6203337,11034,4423810048.0
1769018616.571178,11039,4593628672.0
