Wall time,Step,Value
1769013595.7230647,7451,88.0
1769013607.1775815,7461,23.0
1769013610.463228,7464,28.0
1769013628.7822063,7479,66.0
1769013688.5945485,7512,45.0
1769013830.2008245,7610,91.0
1769013873.761379,7645,24.0
1769013927.7934017,7688,49.0
1769013934.9251597,7694,54.0
1769014034.6953084,7761,64.0
1769014059.4218743,7781,80.0
1769014069.3157425,7789,118.0
1769014081.6722982,7799,26.0
1769014141.849931,7834,76.0
1769014241.7882838,7901,69.0
1769014280.490815,7933,50.0
1769014349.5543158,7992,20.0
1769014409.5681665,8027,52.0
1769014422.6628764,8038,111.0
1769014436.5404794,8050,18.0
1769014456.5302308,8067,86.0
1769014613.8184037,8181,57.0
1769014675.3488276,8216,141.0
1769014682.494198,8222,101.0
1769014766.1986501,8291,78.0
1769014837.1730955,8335,35.0
1769014844.3960416,8341,115.0
1769014871.9809299,8364,26.0
1769014878.2265313,8369,28.0
1769014889.2416525,8378,66.0
1769015016.6896164,8468,89.0
1769015020.4449816,8471,112.0
1769015054.309941,8499,129.0
1769015085.004592,8509,80.0
1769015155.0204983,8567,89.0
1769015217.7183597,8602,58.0
1769015256.9831138,8635,18.0
1769015258.2303054,8636,60.0
1769015324.8230734,8691,49.0
1769015330.931178,8696,43.0
1769015517.8060918,8820,60.0
1769015521.533814,8823,42.0
1769015589.9235954,8879,41.0
1769015598.05157,8886,20.0
1769015636.3667433,8905,28.0
1769015639.7987978,8908,51.0
1769015664.3395748,8929,29.0
1769015672.994165,8936,36.0
1769015700.6706803,8959,60.0
1769015721.2511785,8976,46.0
1769015743.4908817,8994,94.0
1769015768.92687,9000,58.0
1769015780.540111,9010,71.0
1769015837.709904,9056,68.0
1769015847.548971,9064,76.0
1769016081.8357642,9227,34.0
1769016090.2915604,9234,126.0
1769016123.1080437,9261,48.0
1769016197.206416,9308,54.0
1769016208.4779637,9317,18.0
1769016248.39575,9349,44.0
1769016274.607469,9370,48.0
1769016345.6447344,9413,82.0
1769016349.4408562,9416,31.0
1769016374.4059875,9436,47.0
1769016383.069116,9443,52.0
1769016414.6902807,9469,59.0
1769016517.0743093,9539,108.0
1769016527.7303646,9548,62.0
1769016536.5372837,9555,12.0
1769016552.8129194,9568,144.0
1769016579.8204143,9590,50.0
1769016644.0954294,9628,46.0
1769016681.2491782,9658,28.0
1769016708.9729855,9681,59.0
1769016730.2598262,9699,63.0
1769016834.1292303,9769,71.0
1769016940.8278959,9841,11.0
1769016944.600534,9844,59.0
1769016994.3453841,9884,168.0
1769017041.505759,9908,126.0
1769017122.3052247,9973,92.0
1769017237.9444818,10051,90.0
1769017244.3668802,10056,85.0
1769017248.2651227,10059,114.0
1769017279.4050446,10085,140.0
1769017349.3776894,10129,36.0
1769017368.7556322,10145,33.0
1769017397.437335,10169,28.0
1769017417.357468,10186,45.0
1769017522.2832544,10257,79.0
1769017545.7799344,10277,62.0
1769017553.7267609,10284,112.0
1769017707.999903,10397,73.0
1769017729.7791886,10400,46.0
1769017755.8650377,10421,60.0
1769017826.0832539,10480,54.0
1769017838.0959952,10490,77.0
1769017843.1329665,10494,52.0
1769017896.5700173,10523,22.0
1769017935.474251,10555,155.0
1769017936.5798879,10556,72.0
1769018017.677128,10608,84.0
1769018038.295587,10625,24.0
1769018055.5663898,10639,58.0
1769018074.5517688,10655,22.0
1769018094.9195673,10672,71.0
1769018162.2587671,10712,30.0
1769018218.1761053,10758,14.0
1769018219.2438798,10759,32.0
1769018245.820377,10781,70.0
1769018254.4415438,10788,31.0
1769018307.9743383,10816,50.0
1769018320.357117,10826,122.0
1769018326.4739194,10831,71.0
1769018339.740206,10842,40.0
1769018350.5157263,10851,22.0
1769018367.2818074,10865,15.0
1769018432.871555,10903,76.0
1769018436.5317137,10906,24.0
1769018477.894803,10940,92.0
1769018482.9914057,10944,43.0
1769018510.2234643,10967,78.0
1769018517.3798773,10973,54.0
1769018519.8282294,10975,36.0
1769018587.0439174,11015,128.0
1769018594.4262056,11021,32.0
1769018610.6203337,11034,51.0
1769018616.571178,11039,10.0
1769018711.2572107,11103,27.0
1769018734.0049675,11122,47.0
1769018745.2064621,11131,26.0
1769018800.031719,11176,18.0
1769018827.9890163,11199,40.0
1769018849.1150417,11201,128.0
1769018850.408207,11202,57.0
1769018921.6367078,11261,20.0
1769018935.865935,11273,63.0
1769019153.5755243,11420,82.0
1769019218.0273244,11473,72.0
1769019242.8878071,11493,51.0
1769019299.813793,11524,46.0
1769019310.685166,11533,58.0
1769019331.4840918,11550,148.0
1769019341.2007053,11558,30.0
1769019352.305411,11567,26.0
1769019390.9970908,11598,30.0
1769019456.8364668,11637,60.0
1769019471.522006,11649,24.0
1769019499.5906906,11672,94.0
1769019516.8007994,11686,20.0
1769019519.2186847,11688,75.0
1769019625.8436737,11760,120.0
1769019784.1274388,11874,58.0
1769019893.9715428,11949,97.0
1769019919.4409313,11970,45.0
1769019925.5462556,11975,20.0
1769019942.9082766,11989,123.0
1769019980.7183104,12004,121.0
1769019989.2150338,12011,58.0
1769020012.3366113,12030,119.0
1769020027.1149848,12042,76.0
1769020164.7774453,12139,24.0
1769020196.5909462,12165,99.0
1769020201.6825848,12169,142.0
1769020221.6159968,12185,28.0
1769020291.101425,12227,27.0
1769020368.4240713,12291,100.0
1769020372.1598659,12294,24.0
1769020407.626343,12310,12.0
1769020512.1234179,12397,14.0
1769020539.6502266,12406,62.0
1769020577.8427217,12437,60.0
1769020605.1695695,12459,44.0
1769020739.0348334,12554,32.0
1769020845.5488465,12626,20.0
1769020901.625695,12672,57.0
1769020954.475488,12700,28.0
1769021027.4663332,12759,30.0
1769021047.303676,12775,42.0
1769021102.8029768,12806,50.0
1769021138.7729218,12835,167.0
1769021176.0322118,12865,26.0
1769021192.1844087,12878,54.0
1769021214.8695717,12897,20.0
1769021286.4733615,12940,79.0
1769021311.2010229,12960,85.0
1769021401.2502575,13018,57.0
1769021422.5434506,13035,74.0
1769021455.7021222,13062,90.0
1769021481.3425472,13083,57.0
1769021496.604002,13095,44.0
1769021533.3820777,13110,12.0
1769021538.2426345,13114,31.0
1769021558.9360635,13131,56.0
1769021603.8702886,13167,46.0
1769021671.625269,13207,45.0
1769021672.9291337,13208,55.0
1769021712.6398427,13240,51.0
1769021822.1267827,13314,22.0
1769021866.6475248,13350,35.0
1769021949.953243,13403,38.0
1769021954.804686,13407,80.0
1769021980.0525458,13427,4.0
1769022040.362681,13476,48.0
1769022094.5255516,13505,10.0
1769022146.0265515,13547,32.0
1769022208.4829211,13598,32.0
1769022246.022887,13613,90.0
