Wall time,Step,Value
1769000495.1396286,43,0.4948520362377167
1769000498.6795936,46,0.588469386100769
1769000530.3554795,72,0.4578547477722168
1769000557.718982,95,0.29852601885795593
1769000649.8578446,159,0.5578891038894653
1769000660.211235,168,0.5588960647583008
1769000753.124106,230,0.8311002254486084
1769000759.2099514,235,0.32310351729393005
1769000784.6899836,256,0.4678051173686981
1769000806.253501,274,0.5372239947319031
1769000864.1014988,309,0.2630431056022644
1769000866.5526397,311,0.6656824946403503
1769000874.6654003,319,0.20439130067825317
1769001008.7396367,422,0.3547877371311188
1769001058.3497698,461,0.7951323390007019
1769001076.666287,475,0.537690281867981
1769001177.9763987,537,0.3445327579975128
1769001214.4802155,564,0.565776526927948
1769001235.894012,580,0.6298940777778625
1769001245.4403458,587,0.7070119380950928
1769001328.5956085,635,0.621702253818512
1769001346.2541928,648,0.6117615103721619
1769001365.6708171,662,0.6429696679115295
1769001379.601176,672,0.6321307420730591
1769001454.9482915,715,0.628521740436554
1769001465.7659109,723,0.6630362272262573
1769001532.180458,772,0.5324779748916626
1769001551.3070798,786,0.29851946234703064
1769001553.9850614,788,0.5788232088088989
1769001592.8854437,803,0.6130579710006714
1769001601.5850194,809,0.6593315601348877
1769001640.527069,837,0.6798226237297058
1769001808.7715936,946,0.7301636934280396
1769001844.6983664,972,0.6896067261695862
1769001846.1055632,973,0.6548733115196228
1769001853.8287406,979,0.5275768637657166
1769001907.9469328,1006,0.7511090636253357
1769001920.440411,1015,0.6572892665863037
1769001984.99631,1064,0.6100218296051025
1769001989.6998315,1067,0.7458575963973999
1769002026.8128016,1094,0.7844476699829102
1769002064.0309124,1105,0.6987191438674927
1769002155.1251893,1162,0.7569578886032104
1769002188.0678935,1181,0.8166686296463013
1769002358.2147965,1262,0.7456695437431335
1769002483.3691752,1317,0.9064372181892395
1769002489.123664,1320,0.8956530690193176
1769002515.5215347,1334,0.9100640416145325
1769002523.0900264,1338,0.905116617679596
1769002613.3924348,1386,0.8926645517349243
1769002627.0739813,1393,0.8671233654022217
1769002693.2558208,1415,0.881566047668457
1769002718.480365,1427,0.8922142386436462
1769002739.5584192,1437,0.906975269317627
1769002801.8359725,1467,0.8594052791595459
1769002852.3176117,1492,0.8638268113136292
1769002933.299086,1524,0.9023945927619934
1769002991.2712297,1553,0.7663450837135315
1769003022.5063488,1569,0.8243779540061951
1769003053.1593928,1585,0.8753807544708252
1769003107.3960006,1606,0.7426208257675171
1769003170.6820498,1641,0.8766146898269653
1769003269.471089,1692,0.8573883771896362
1769003321.8853402,1710,0.8539288640022278
1769003338.608832,1719,0.8527399301528931
1769003363.2722116,1733,0.8635726571083069
1769003366.8963861,1735,0.8941265344619751
1769003372.480228,1738,0.8528924584388733
1769003451.6126149,1782,0.8451061844825745
1769003584.182022,1845,0.8367774486541748
1769003599.6875272,1854,0.8789301514625549
1769003622.8670955,1867,0.8443277478218079
1769003628.2297213,1870,0.8662182688713074
1769003642.7397609,1878,0.8824551701545715
